"Extracted Properties:

3.3 THz"
"Extracted Properties:

10 mW"
"Extracted Properties:

2.07 THz, 2.02 THz"
"Extracted Properties:

190 K, 125 K"
"Extracted Properties:

107 K, 91 K"
"Extracted Properties:

GaAs/Al0.23Ga0.77As"
"Extracted Properties:

In0.6Ga0.4As/InAs"
"Extracted Properties:

3.0 THz"
"Extracted Properties:

185 K"
"Extracted Properties:

325 K"
"Extracted Properties:

none"
"Extracted Properties:

195 K"
"Extracted Properties:

24 mW"
"Extracted Properties:

none"
"Extracted Properties:

150 K, 110 K"
"Extracted Properties:

none"
"Extracted Properties:

113 K, 89 K"
"Extracted Properties:

70K"
"Extracted Properties:

none"
"Extracted Properties:

none"
"Extracted Properties:

182 K"
"Extracted Properties:

none"
"Extracted Properties:

GaAs/Al0.15Ga0.85As"
"Extracted Properties:

none"
"Extracted Properties:

none"
"Extracted Properties:

3.5 THz"
"Extracted Properties:

115 K, 98 K"
"Extracted Properties:

13.5 THz"
"Extracted Properties:

12.4 THz"
"Extracted Properties:

9.5 THz"
"Extracted Properties:

GaAs/Al0.15Ga0.85As"
"Extracted Properties:

scattering-assisted injection, resonant-phonon depopulation"
"Extracted Properties:

1.88 THz, 2.42 THz"
"Extracted Properties:

none"
"Extracted Properties:

18 mW"
"Extracted Properties:

6 THz"
"Extracted Properties:

10 mW"
"Extracted Properties:

GaAs/AlGaAs"
"Extracted Properties:

5.2 THz"
"Extracted Properties:

15 mW"
"Extracted Properties:

8.2 THz"
"Extracted Properties:

10 milliwatts"
"Extracted Properties:

bound-to-continuum"
"Extracted Properties:

2.12 THz, 2.06 THz"
"Extracted Properties:

260 K"
"Extracted Properties:

bound-to-continuum"
"Extracted Properties:

none"
"Extracted Properties:

119 K"
"Extracted Properties:

225 K"
"Extracted Properties:

GaAs/Al0.15Ga0.85As"
"Extracted Properties:

GaN/In0.3Ga0.7As"
"Extracted Properties:

none"
"Extracted Properties:

5.6 W"
"Extracted Properties:

9.2 THz"
"Extracted Properties:

25.1 W"
"Extracted Properties:

3.63 THz"
"Extracted Properties:

GaAs/Al0.12Ga0.88As"
"Extracted Properties:

bound-to-continuum"
"Extracted Properties:

InGaN/AlGaN"
"Extracted Properties:

none"
"Extracted Properties:

0.7 mW"
"Extracted Properties:

144 K"
"Extracted Properties:

168 K, 121 K"
"Extracted Properties:

95K"
"Extracted Properties:

none"
"Extracted Properties:

40 mW"
"Extracted Properties:

8 mW"
"Extracted Properties:

0.8 mW"
"Extracted Properties:

3 to 4.7 THz"
"Extracted Properties:

155 K"
"Extracted Properties:

0.9 mW"
"Extracted Properties:

110 K"
"Extracted Properties:

235 K"
"Extracted Properties:

1.2 THz"
"Extracted Properties:

33 mW"
"Extracted Properties:

119K"
"Extracted Properties:

0.6 mW"
"Extracted Properties:

90mW"
"Extracted Properties:

175 K"
"Extracted Properties:

none"
"Extracted Properties:

bound-to-continuum"
"Extracted Properties:

2.62 THz"
"Extracted Properties:

4.5 mW"
"Extracted Properties:

3 THz"
"Extracted Properties:

none"
"Extracted Properties:

165 K"
"Extracted Properties:

5 THz."
"Extracted Properties:

85 K"
"Extracted Properties:

27 mW"
"Extracted Properties:

none"
"Extracted Properties:

9 THz"
"Extracted Properties:

1.8 THz"
"Extracted Properties:

none"
"Extracted Properties:

2 mW"
"Extracted Properties:

180 K, 110 K"
"Extracted Properties:

7 THz"
"Extracted Properties:

170 K"
"Extracted Properties:

2.5 mW"
"Extracted Properties:

0.5 mW"
"Extracted Properties:

220 K, 135 K"
"Extracted Properties:

bound-to-continuum"
"Extracted Properties:

35 mW"
"Extracted Properties:

GaAs/Al0.15Ga0.85As"
"Extracted Properties:

resonant-phonon"
"Extracted Properties:

250 mW"
"Extracted Properties:

In0.53Ga0.47As/GaAs0.51Sb0.49"
"Extracted Properties:

none"
"Extracted Properties:

178 K"
"Extracted Properties:

5.37 THz"
"Extracted Properties:

0.5 mW"
"Extracted Properties:

217 K"
"Extracted Properties:

220 K"
"Extracted Properties:

5.3 THz"
"Extracted Properties:

bound-to-continuum"
"Extracted Properties:

GaAs/Al0.25Ga0.75As"
"Extracted Properties:

InAs/InP"
"Extracted Properties:

0.23 W"
"Extracted Properties:

100K"
"Extracted Properties:

bound-to-continuum"
"Extracted Properties:

none"
"Extracted Properties:

0.23 W"
"Extracted Properties:

300 K"
"Extracted Properties:

3.36 THz, 3.92 THz"
"Extracted Properties:

multilayer heterostructure (MH)"
"Extracted Properties:

7.3 THz"
"Extracted Properties:

8.9 THz"
"Extracted Properties:

180 K"
"Extracted Properties:

169 K, 124 K"
"Extracted Properties:

2 THz"
"Extracted Properties:

3.9 THz"
