Abstract_DOI,HS_Materials,Power_Value,Power_Unit,Frequency Value,Design_Type,TemperatureValue_CW,Temperature_ValuePM,,,,
10.1063/1.2189671,none,none,none,1.9,none,95,110,,,,
10.1364/OE.23.019689,GaAs/Al0.15Ga0.85As,10,milliwatt,2.1,resonant-phonon,none,144,,,,
10.1063/1.1554479,GaAs/Al0.15Ga0.85As,2.5,milliwatt,3.44,longitudinal-optical,none,65,,,,
10.1063/1.3114418,none,63,milliwatt,3.9,Resonant-phonon,186,none,,,,
10.1063/1.4862177,GaAs/Al0.25Ga0.75As,none,none,2.67,none,151,none,,,,
10.1063/1.3702571,GaAs/Al0.25Ga0.75As,none,none,3.2,none,138,none,,,,
10.1063/1.4983030,none,none,none,3.1,none,none,none,,,,
10.1088/0256-307X/30/6/064201,none,62,milliwatt,3.2,bound-to-continuum,60,85,,,,
10.1088/1361-6641/abdd4b,GaAs/AlAs,none,none,3.36,none,none,none,,,,
10.1088/1757-899X/475/1/012020,GaAs/Al0.15Ga0.85As,none,none,none,none,none,none,,,,
10.1364/OE.26.009194,GaAs/Al0.17Ga0.83As,none,none,none,none,144,none,,,,
10.1063/5.0198236,GaAs/Al0.14Ga0.86As,none,none,6.4,none,81,none,,,,
10.1088/1367-2630/18/12/123004,GaAs/AlGaAs,200,milliwatt,4.7,none,150,none,,,,
10.1063/1.4766915,In0.53Ga0.47As/GaAs0.51Sb0.49,9,milliwatt,none,none,142,none,,,,
10.1063/1.4826943,none,470,milliwatt,3.9,none,122,none,,,,
10.1088/1674-1056/25/8/084206,none,177,milliwatt,3.27,none,70,none,,,,
10.1063/1.4959195,none,0.23,watt,3.11,none,65,none,,,,
10.1063/1.4939551,InAs/AlAs0.16Sb0.84,none,none,3.8,resonant phonon,none,none,,,,
10.1088/1367-2630/17/2/023050,InGaAs/AlInGaAs,none,none,none,LO-Phonon,195,none,,,,
10.1063/1.2404598,GaAs/Al0.1Ga0.9As,none,none,1.6,bound-to-continuum,80,95,,,,
10.1364/OPEX.13.003331,none,none,none,3,resonant-phonon,117,164,,,,
10.1063/1.2793177,GaAs/Al0.1Ga0.9As,0.36,milliwatt,1.32,none,none,84,,,,
10.1088/0268-1242/20/7/013,none,none,none,2.1,LO-phonon,97,137,,,,
10.1063/5.0176281,InGaAs/GaAsSb,30,microwatt,none,none,170,none,,,,
10.1063/1.3068496,Al0.03Ga0.97As,none,none,3,none,none,123,,,,
10.1364/OE.17.019926,none,none,none,2.3,none,98,120,,,,
10.1063/1.4943657,GaAs/AlAs,none,none,4.75,none,none,none,,,,
10.1063/1.2136222,GaAs/Al0.15Ga0.85As,none,none,3,longitudinal-optical phonon,none,140,,,,
10.1063/1.4816352,AlInGaAs,none,none,3.8,none,130,none,,,,
10.1063/1.3532106,In0.53Ga0.47As/GaAs0.51Sb0.49,1.8,milliwatt,3.6,three-well phonon depopulation,102,none,,,,
10.1049/el.2013.4035,none,1,watt,3.4,bound-to-continuum,123,none,,,,
10.1364/OE.16.003242,none,none,none,3,resonant phonon,178,none,,,,
10.1063/1.2737129,none,100,milliwatt,2.83,bound-to-continuum,40,none,,,,
10.1063/1.2216112,GaAs/Al0.3Ga0.7As,none,none,none,longitudinal-optical phonon,105,138,,,,
10.1063/1.3496035,GaAs/Al0.15Ga0.85As,none,none,3,double-phonon resonant,172,none,,,,
10.1063/1.1611642,none,none,none,3,resonant phonon,none,77,,,,
10.1063/1.2437071,none,none,none,3.4,resonant-phonon depopulation,142,none,,,,
10.1063/1.3579260,none,100,milliwatt,none,none,210,none,,,,
10.1063/1.5110305,none,200,milliwatt,none,none,210.5,none,,,,
10.1364/OE.438636,none,37,milliwatt,1.9,none,none,102,,,,
10.1088/1361-6641/ab1401,GaN/AlGaN,8,milliwatt,none,two-phonon-resonance,230,none,,,,
10.1063/5.0155250,none,none,none,none,direct-phonon design,167,none,,,,
